phi,rho,detJ,rankJ
5.890486225480862,-5.105088062083414,14.202619362158767,4
5.890486225480862,-4.71238898038469,14.202619362158767,4
5.890486225480862,-4.319689898685965,14.202619362158764,4
5.890486225480862,-3.9269908169872414,14.202619362158778,4
5.890486225480862,-3.5342917352885173,14.20261936215877,4
5.890486225480862,-3.141592653589793,14.202619362158767,4
5.890486225480862,-2.748893571891069,14.20261936215877,4
5.890486225480862,-2.356194490192345,14.202619362158769,4
5.890486225480862,-1.9634954084936207,14.202619362158767,4
5.890486225480862,-1.5707963267948966,14.202619362158767,4
5.890486225480862,-1.1780972450961724,14.20261936215877,4
5.890486225480862,-0.7853981633974483,14.202619362158769,4
5.890486225480862,-0.39269908169872414,14.202619362158767,4
5.890486225480862,0.0,14.202619362158767,4
5.890486225480862,0.39269908169872414,14.202619362158767,4
5.890486225480862,0.7853981633974483,14.202619362158769,4
5.890486225480862,1.1780972450961724,14.20261936215877,4
5.890486225480862,1.5707963267948966,14.202619362158767,4
5.890486225480862,1.9634954084936207,14.202619362158767,4
5.890486225480862,2.356194490192345,14.202619362158769,4
5.890486225480862,2.748893571891069,14.20261936215877,4
5.890486225480862,3.141592653589793,14.202619362158767,4
5.890486225480862,3.5342917352885173,14.20261936215877,4
5.890486225480862,3.9269908169872414,14.202619362158778,4
5.890486225480862,4.319689898685965,14.202619362158764,4
5.890486225480862,4.71238898038469,14.202619362158767,4
5.890486225480862,5.105088062083414,14.202619362158767,4
5.890486225480862,5.497787143782138,14.202619362158773,4
5.890486225480862,5.890486225480862,14.202619362158767,4
5.890486225480862,6.283185307179586,14.202619362158767,4
6.283185307179586,-6.283185307179586,20.085536923187675,4
6.283185307179586,-5.890486225480862,20.08553692318767,4
6.283185307179586,-5.497787143782138,20.08553692318767,4
6.283185307179586,-5.105088062083414,20.085536923187668,4
6.283185307179586,-4.71238898038469,20.085536923187675,4
6.283185307179586,-4.319689898685965,20.08553692318767,4
6.283185307179586,-3.9269908169872414,20.08553692318768,4
6.283185307179586,-3.5342917352885173,20.085536923187675,4
6.283185307179586,-3.141592653589793,20.085536923187675,4
6.283185307179586,-2.748893571891069,20.08553692318767,4
6.283185307179586,-2.356194490192345,20.085536923187675,4
6.283185307179586,-1.9634954084936207,20.085536923187664,4
6.283185307179586,-1.5707963267948966,20.085536923187675,4
6.283185307179586,-1.1780972450961724,20.08553692318767,4
6.283185307179586,-0.7853981633974483,20.085536923187675,4
6.283185307179586,-0.39269908169872414,20.08553692318767,4
6.283185307179586,0.0,20.085536923187675,4
6.283185307179586,0.39269908169872414,20.08553692318767,4
6.283185307179586,0.7853981633974483,20.085536923187675,4
6.283185307179586,1.1780972450961724,20.08553692318767,4
6.283185307179586,1.5707963267948966,20.085536923187675,4
6.283185307179586,1.9634954084936207,20.085536923187664,4
6.283185307179586,2.356194490192345,20.085536923187675,4
6.283185307179586,2.748893571891069,20.08553692318767,4
6.283185307179586,3.141592653589793,20.085536923187675,4
6.283185307179586,3.5342917352885173,20.085536923187675,4
6.283185307179586,3.9269908169872414,20.08553692318768,4
6.283185307179586,4.319689898685965,20.08553692318767,4
6.283185307179586,4.71238898038469,20.085536923187675,4
6.283185307179586,5.105088062083414,20.085536923187668,4
6.283185307179586,5.497787143782138,20.08553692318767,4
6.283185307179586,5.890486225480862,20.08553692318767,4
6.283185307179586,6.283185307179586,20.085536923187675,4
